Date,Open,High,Low,Close,Adj Close,Volume
2022-12-03,0.396271,0.396418,0.387611,0.388147,0.388147,496500336
2022-12-04,0.388122,0.392824,0.387541,0.390735,0.390735,450960651
2022-12-05,0.390645,0.394603,0.383432,0.389584,0.389584,890179719
2022-12-06,0.389600,0.392260,0.381679,0.392094,0.392094,814317329
2022-12-07,0.392091,0.392091,0.376583,0.383721,0.383721,839949038
2022-12-08,0.383719,0.395014,0.383605,0.394545,0.394545,770396956
2022-12-09,0.394550,0.394929,0.386220,0.389153,0.389153,693718603
2022-12-10,0.389162,0.389317,0.386207,0.386698,0.386698,331624480
2022-12-11,0.386712,0.388534,0.380554,0.381749,0.381749,366643114
2022-12-12,0.381731,0.388752,0.372695,0.387394,0.387394,881038173
2022-12-13,0.387386,0.396085,0.379270,0.395102,0.395102,1137292765
2022-12-14,0.395101,0.395253,0.380863,0.386414,0.386414,893235466
2022-12-15,0.386387,0.386661,0.375375,0.378237,0.378237,739736057
2022-12-16,0.378214,0.379630,0.348126,0.351988,0.351988,1061370203
2022-12-17,0.351915,0.356418,0.348839,0.354810,0.354810,590468250
2022-12-18,0.354813,0.354960,0.348592,0.350270,0.350270,313888826
2022-12-19,0.350285,0.352553,0.334307,0.338870,0.338870,986711247
2022-12-20,0.338904,0.352822,0.337259,0.349373,0.349373,932296715
2022-12-21,0.349332,0.350151,0.339736,0.346020,0.346020,743732204
2022-12-22,0.345971,0.349790,0.342374,0.349600,0.349600,685101342
2022-12-23,0.349591,0.354546,0.347703,0.354273,0.354273,577979156
2022-12-24,0.354278,0.354302,0.351499,0.352179,0.352179,225391032
2022-12-25,0.352188,0.352188,0.344723,0.346392,0.346392,323700210
2022-12-26,0.346383,0.369103,0.345969,0.365723,0.365723,797909103
2022-12-27,0.365728,0.372270,0.359441,0.368126,0.368126,905248563
2022-12-28,0.368122,0.368543,0.356136,0.356531,0.356531,839617676
2022-12-29,0.356524,0.357225,0.338911,0.342846,0.342846,898022518
2022-12-30,0.342831,0.345313,0.335333,0.345017,0.345017,672119602
2022-12-31,0.345032,0.345100,0.339868,0.339929,0.339929,337167278
2023-01-01,0.339923,0.339923,0.336332,0.338763,0.338763,290828851
2023-01-02,0.338774,0.354105,0.321628,0.348556,0.348556,1325787126
2023-01-03,0.348544,0.351049,0.342010,0.343824,0.343824,811872325
2023-01-04,0.343831,0.350880,0.342839,0.347794,0.347794,803671745
2023-01-05,0.347793,0.348339,0.337517,0.338039,0.338039,669029812
2023-01-06,0.338041,0.345469,0.332831,0.344645,0.344645,741263420
2023-01-07,0.344638,0.345522,0.342009,0.344268,0.344268,334559534
2023-01-08,0.344266,0.345523,0.339230,0.345358,0.345358,515669684
2023-01-09,0.345347,0.356609,0.344290,0.349340,0.349340,1420062936
2023-01-10,0.349325,0.353811,0.345308,0.351241,0.351241,815342810
2023-01-11,0.351254,0.376026,0.348716,0.374158,0.374158,1498360174
2023-01-12,0.373827,0.378322,0.365869,0.375197,0.375197,1226464922
2023-01-13,0.375186,0.386446,0.370640,0.385804,0.385804,990539135
2023-01-14,0.385807,0.407890,0.385807,0.395443,0.395443,1601102466
2023-01-15,0.395469,0.396190,0.381052,0.384881,0.384881,829206058
2023-01-16,0.384878,0.405044,0.380864,0.386576,0.386576,1454332113
2023-01-17,0.386597,0.397535,0.380176,0.387711,0.387711,1025137174
2023-01-18,0.387690,0.395209,0.371321,0.379452,0.379452,1484076132
